content,sentiment
YDDA (YANG DAFTAR DAFTAR AJA),NEGATIF
Bermanfaat dan membantu,POSITIF
👎susah masuk no hp ilang ga tau loginya gmn,NEGATIF
semoga peduli lindungi terus bersama masyarakat sehat dan terus sehat,POSITIF
Membantu,POSITIF
"Bagus, sanga berguna bagi masyarakat",POSITIF
Ok,POSITIF
uDh doWloAd tApi nGak aDa yAnG pEdULi,NEGATIF
Okeh,NEGATIF
Parah sih ini. Entri tanggal lahir saja harus geser per bulan.,NEGATIF
Bagus,POSITIF
Menyusahkan,NEGATIF
Ps,POSITIF
"Saat di awal bagus tuk info pribadi dan seputar kesehatan,makin b'jalan lama koq malah jd bingung...",NEGATIF
Mantap,POSITIF
👍👍👍,POSITIF
Suka force close sendiri padahal hp (merek hp poco x3 pro) udh memadai dan internet pun lancar.,NEGATIF
Ok,POSITIF
Bagus,POSITIF
Better,POSITIF
Cari cuan Mulu wkwk,NEGATIF
Baik,POSITIF
Ga guna dan nyusahin rakyat,NEGATIF
Aplikasi nyusahin!!!Org mw buka riwayat sertifikat vaksin aja hrs login dulu🖕🖕🖕👎👎👎,NEGATIF
Apk jelekk eror mulu,NEGATIF
Burukkk !!!!!!,NEGATIF
Bagus,POSITIF
Aplikasi kntl,NEGATIF
Admin kenapa peduli lindungi saya ga bisa buka ya?,POSITIF
Oke,POSITIF
kocak,NEGATIF
KOMINFO GK JELAS,NEGATIF
Banyak bug,NEGATIF
Vaksin ndasmu suhh,NEGATIF
Ok,POSITIF
Mantap,POSITIF
Gtw,NEGATIF
B A N G S A T,NEGATIF
Sekarang fungsi kau apa. Kyk hilang aja korona kan kintil,NEGATIF
Ribett,NEGATIF
Good,POSITIF
Butut,NEGATIF
Hoho,NEGATIF
Gak bisa scan barcode setelah di update,POSITIF
Bagus,POSITIF
Jelek,NEGATIF
Gud,POSITIF
Good aplikasi,POSITIF
Baik untuk rutinitas kerja,POSITIF
semua aja lu blokir,NEGATIF
"Gua udah vaksin kedua, malah di suruh vaksin ulang lagi yang kedua.. ahkkkk",NEGATIF
Tolol,NEGATIF
bgus,POSITIF
"Kembalikan situs paypal, saya bekerja freelancer desain grafis di situs luar negeri dan sangat bergantung pada paypal sejak 4 tahun lalu untuk transaksi. Dan kalian memblokir paypal sama dengan dengan memblokir rezeki saya.",NEGATIF
"Udah daftar vaksin non indonesia tapi nggak di approve alasannya NIK tidak sesuai padahal udah bener sesuai KTP indonesia, terus buat layanan bantuan WhatsApp selalu error.",NEGATIF
Jelek,NEGATIF
Tingkatkan lagi dong.,POSITIF
"Saya sudah booster 1 bulan yang lalu tapi sertifikat belum muncul sampai sekarang, hadehhh",NEGATIF
Keminfo tidak ramah bintang 1,NEGATIF
"Kenapa setiap mau login selalu ada keterangan sesuaikan nama dan nik, padahal sudah bener bgt, ditunggu dr seminggu yg lalu gada kemajuan, udh instal uninstall berkali kali ttp gabisa, semua cara udh dilakukan ttp gabisa, kalo boleh tolong kasih solusinya 🙏",NEGATIF
Sangat membantu mengatasi pandemi Covid-19,POSITIF
Sangat membantu..good..,POSITIF
Mantap,POSITIF
Dapat dipercaya kebenarannya,POSITIF
Mantap ini aplikasi nya,POSITIF
Saya tidak bisa login walau jaringan tersedia. Apakah aplikasi sangat bermanfaat ini juga diblokir pemerintah seperti nasib Paypal?,NEGATIF
Aplikasi gk guna,NEGATIF
"Mantab, lebih mudah",POSITIF
Baik,POSITIF
Tidak bisa mengklaim sertifikat vaksin padahal data data sudah lengkap/benar,NEGATIF
Sangat membantu,POSITIF
"Aplikasinya minta diperbarui. Namun saat diperbarui tidak kunjung berhasil untuk meng-update nya. Padahal sinyal bagus, paket internet aman. Tolong diperbaiki aplikasinya ya. Terimakasih",POSITIF
Tidak bisa login payah,NEGATIF
Tolong yang aman dan adil.,NEGATIF
Ngk guna bangkee,NEGATIF
Eo,NEGATIF
Dengan adanya akun ini bisa tau pembetahuan vasin nya dengan PeduliLindungi cocok bila ada ga percaya coba sendiri.,POSITIF
"Saya sudah Vaksin Boster yang berarti sudah 3 kali vaksin, tiba tiba aplikasi menghilangkan semua sertifikat, dan Anak saya umur 7 tahun sudah vaksin lengkap 2 kali tapi aplikasi justru menghilangkan sertifikatnya. Payah",NEGATIF
"Sering check in sendiri. Padahal ga lagi keluar tapi check in ke mall"" atau tempat"" lainnya..",NEGATIF
Bagus,POSITIF
Dengan adanya aplikasi ini sangat sangat berarti,POSITIF
"Mari Peduli, Lindungi, bantu hentikan Konspirasi Koronavirus Bisnis",NEGATIF
Aplikasinya macet gak bisa di buka alhasil mau masuk mall gak jadi karena gak bisa check in,NEGATIF
Sampah,NEGATIF
Payah,NEGATIF
sip 👍az dh jngan banyak omong🤫 lh😂●●●○○🙏,POSITIF
B ynmm mm. T m n mmmmmm.o,NEGATIF
Kontoolllll,NEGATIF
Aplikasi ngabisin baterai hp doang suka error guna nya apa d vaksin juga krna paksaan kan gblk gak di vaksin gak boleh masuk mall dll sebagai nya bisnis or bisnis sialan gak ada maaf bagi orang yg suka membuat rakyat sengsara maupun susah fucek,NEGATIF
Aplikasi baik,POSITIF
Belumtau,POSITIF
Nyusahin,NEGATIF
Good,POSITIF
"Gua udah vaksin masih tetap gak bisa masuk,😡😡😡 tolong di hapus aja aplikasi nya, parah bgt sumpah",NEGATIF
Kenpa si d indonesia masih harus pakai ginian ribed banget mengganggu perjalanan yg d luar begri ajah udah gak pakai udah lama😡,NEGATIF
App sangat membantu di perjalan,POSITIF
Aplikasi kagak jelas... ribet amat... udh vaksi pas masuk di bilang belum... mana pilih tagal aja lama amat geser2... seharusnya bikin aplikasi jagan tanggung,NEGATIF
Good app,POSITIF
MERESAHKAN,NEGATIF
"Alhamdulillah,, dengan adanya akun ini aku jadi bebas kemana mana,",POSITIF
👍👍,POSITIF
Ok,POSITIF
Lu blokir aja game online semua,NEGATIF
"Tolong yg tau cara balikin data sertifikat vaksin kok ribet amat. Jangan jangan data saya sudah diklaim oleh wni/a jd sertifikat vaksin saya semua tidak ada. Tidak bisa kemana"" juga kakau begini Apa saya saja yang seperti ini?",NEGATIF
Mantap pokoknya,POSITIF
Gausah blokir blokir napa,NEGATIF
Ttimakasih ....,POSITIF
"Vaksin tapi memaksa masyarakat untuk di vaksin, katanya sifatnya tidak memaksa, tapi seakan akan memaksakan untuk wajib di vaksin, kenapa ya , ada apa ini sebenernya?",POSITIF
👍👍👍👍👍,POSITIF
"Error, disarankan install ulang..... Mudah2an normal lagi aplikasinya",POSITIF
Tidak ramah bintang 1,NEGATIF
Normalkan kembali,POSITIF
Perbaiki lagi tingkat ke akuratan dan kecepatan dalam data.,POSITIF
Gimana nih,NEGATIF
"Sudah vaksin booster belum keluar sertifikatnya , sertifikat ke 2 juga salah lokasi. Sudah ketmpt lokasi vaksin ga keluar juga sertifikatnya dan sudah diemail peduli lindungi beberapa kali ga ada balasan.",NEGATIF
"SOK SOK BAN APLIKASI LAIN, JUDI DLL NGAK BOOO",NEGATIF
Membantu proses perjalanan via udara.,POSITIF
RANTING 1 GASSS,NEGATIF
Kominfo Balikin steam ama epic games game gw dah banyak di sono,NEGATIF
Suka gk bisa scane,POSITIF
"aplikasi merepotkan,,, saya sudah melakukan vaksin ke2 tapi belum muncul sertifikat di aplikasi peduli lindungi,,,saya coba klaim,,,suda saya isi semua nama ,nik,tanggal lahir tapi nggak bisa,,,,bikin pusing saja...",NEGATIF
tidak ramah,NEGATIF
"Sangat merepotkan dan tidak praktis, payah",NEGATIF
Terima kasih saranya bang tetap jaya dan berguna aplikasi ini ingat patuhi protokol kesehatan,POSITIF
KECEWA,NEGATIF
So far so goood,POSITIF
Aplikasi gak guna,NEGATIF
Idiot,NEGATIF
Ga bisa claim certi bgst,NEGATIF
"aplikasi paling sampah yang pernah gue install, mau install pun karna dipaksa",NEGATIF
"Gara² steam, epic games, paypal di blokir",NEGATIF
Sangat membantu tapi saya villain,NEGATIF
Karna 1 pake Kominfo,NEGATIF
Top pisan...,POSITIF
Yeahh...,NEGATIF
sertifikat vaksin booster belum keluar mohon di bantu,NEGATIF
Hapus aja,NEGATIF
Data akurat,POSITIF
Baik sekali,POSITIF
"this application is like garbage, lots of bugs, just block idiot people",NEGATIF
"Sering eror,,wajar aplikasi.plat merah",NEGATIF
kominfo beban,NEGATIF
nama aplikasinya bisa diganti gak ? norak banget asw,NEGATIF
Sangat memnantu,POSITIF
jelek,NEGATIF
"Makin kesini makin error,, apk ga bisa di buka",NEGATIF
Mantap,POSITIF
Ko gak bisa di buka ya,POSITIF
Kenapa Tidak Bisa Klaim Sertifikat Vaksin Dh Kesekian kali Mencoba Namun tidak bisaaaaaaaaa,NEGATIF
Semua aja di blokir,NEGATIF
Anjink asal blokir gw jadi gak bisa kirim uang ke keluarga di luar negeri anjink,NEGATIF
Sangat bijak sana,POSITIF
Aplikasi perjalanan,POSITIF
Ribet sama kayak yg buat,NEGATIF
Suka,POSITIF
Sangat baik,POSITIF
Aplikasi apaan ini aku mau download sertifikat ku tapui ngak bisa di download,NEGATIF
Saya sudah vaksin 3 kali tetapi tdk muncul2 sertifikatnya,NEGATIF
Sangat berfungsi dengan baik,POSITIF
Sangat membantu dan menbeti rasa nyaman dalam beraktifitas.,POSITIF
Bgs,POSITIF
Ok,POSITIF
Kominfo lawak,NEGATIF
Ok,POSITIF
Aplikasi Peduli Lindungi - Jangguan yang akurat dan terpercaya untuk masa depan yang lebih sempurna. ➖➖➖➖➖➖➖➖➖➖➖➖➖➖ Accurate and reliable interference for a more perfect future.,POSITIF
Paypal ke banned anjeng,NEGATIF
Memudahkan syarat penerbangan dengan aplikasi ini. 👍,POSITIF
"Yang paling anehnya kenapa semakin dipersulit. 1).tanggal disetel manual(harus di perbaiki). 2).kenapa harus ada klaim2 segala,apakah perly dan begitu penting 3).cara isi capcah selalu gabisa,karna tombol verify nya ilang 4).bagusan yang dulu(sebelum update)",NEGATIF
Bintang 1 karna gabut,NEGATIF
Aku udh vaksin ke3 pelayanan cepat dan ramah tamah telah memberikan kesehatan bagi semua khususnya untuk org yang membutuhkan terimakasih dokter Baik hati,POSITIF
"Aplikasi yang tidak memuaskan saya coba untuk masukin no hp terus akun dan itu semua ngak bisa kok kenapa sih ada apa dengan aplikasi ini tolong dong diperbaiki soalnya saya juga sedang butuh, kalau ngak niat buat aplikasi ini mending hapus aja dari pada nyusahin orang lain, percuma buat aplikasi gak guna ini.",NEGATIF
Ko unduhan sertifikatnya gak ada gimana...makin lama makin g jelas,NEGATIF
Aplikasi bloon,NEGATIF
"Kenapa kalo vaksin 1,2 itu pake VGR ,masuk ke peduli lindungi tapi vaksin boster yg ke 3 dengan vaksin pemerintah,Tidak bisa masuk terdeteksi di peduli lindungi. Apa yg harus diperbuat,harusnya aplikasi ini bisa menerima dan terhubung dengan layanan vaksin yg tersedia.jujur saya kecewa dengan hal ini.",NEGATIF
Kominfo ajggg,NEGATIF
"kalo belum diperbarui gabisa di buka, jadi memperlambat kalo lagi buru buru. Tolong diperbaiki. Bukan membantu lebih cepat jadinya",NEGATIF
ribet,NEGATIF
"Setelah di update gak bisa masukin qr code vaksin dari luar negeri ,tambah ribet aja aplikasi ini, Gak bisa baca qr code vaksin luar negeri apa",NEGATIF
"Apaansi steam di blokir,trus kita main game dimaneee",NEGATIF
Blokir semuanya tanggung,NEGATIF
Ini gimana sih masa udh vaksin 1 ama 2 terus mau login lagi gabisa. Tolong dong di perbaiki bug nya. Masa saya harus vaksin lagi. Mau vaksin ke 3 tapi akunnya gabisa login apa maksudnya ini. Kalau bikin akun baru lagi ya ilang lah sertifikat nya gimana sih. Tolong di perbaiki yah bug nya. Saya udh kedaftar bahkan udh ada sertifikat nya kenapa ga bisa masuk?. Terimakasih,NEGATIF
Grafik kurang saat war sama musuh malah lag.. apalagi saat saya Ulti menggunakan Uranus ping nya tiba tiba merah,NEGATIF
Kecewa sertifikat gak bisa di klaim lah makin sulit untuk kerja,NEGATIF
Google Jobs n aplication,POSITIF
Cjicpx,NEGATIF
Aplikasi ngaco asal jd duit...,NEGATIF
Mantab,POSITIF
Sangat bermanfaat bagi yg punya,POSITIF
Udh vaksin kedua tp ga muncul2 sertifakatnya..jd blm ada jadwal booster,NEGATIF
Apapun yg berbau Kominfo itu kapitalis rakus penyembah website judi pasti jelek,NEGATIF
Bagus,POSITIF
Nambahin beban aja lu anj pake NGE blok steam,NEGATIF
Sangat membantu,POSITIF
Ok,POSITIF
Ok,POSITIF
makan nih blokir,NEGATIF
Aplikasinya ngebug mulu,NEGATIF
Keren,POSITIF
Hebat,POSITIF
P B,POSITIF
Bisa gak untuk pemilihan tanggal lahir nya dipermudah,NEGATIF
Salam sehat,POSITIF
BERBAGI ITU INDAH SEKALI,POSITIF
mantap,POSITIF
"Lucu masa kirim OTP kaga masuk-masuk, udah coba ganti nomer yang lain sama aja kaga ada yang masuk, aneh nih, tolong dong developernya tes UAT bener-bener dulu sebelum di up ke playstore, bikin ribet aja harus update mulu tapi hasil ga maksimal",NEGATIF
Ok,POSITIF
"Buat cek sertifikat aja katanya captha salah apalah apa kalo ndak gitu tanggal lahir salah divoba lagi disuruh besok, besoknya gitu lagi gajelas mau cek aja dipersulit",NEGATIF
Aplikasi peduli lindungi sangat bagus,POSITIF
Yaa begitu dah,NEGATIF
Good,POSITIF
Josss,POSITIF
Aplikasi bagus,POSITIF
Sangat memuaskan,POSITIF
"Sebenernya bagus ya, bisa tracking tempat, cek tingkat resiko covid di suatu daerah, cuma, menurut saya bakal lebih bagus kalo ditambahin fitur kirim keluhan/ sejenisnya, karena beberapa orang mendapati data di sertifikat vaksin salah, tapi kebingungan mencari cara membenarkan data tersebut.",NEGATIF
"Stlh update,menu/icon utk mengetahui riwayat pembayaran dan riwayat check kesehatan koq hilang ya?..atau ada dlm bentuk baru?,mhn penjelasan nya min",POSITIF
"Min, saya kan sudah vaksin booster, tp knp tidak muncul sertifikat vaksin booster nya ? Vaksin 1 & 2 nya astrazeneca tp vaksin booster nya pfizer.",NEGATIF
Kominfo ngga jelas banget.,NEGATIF
Ok,POSITIF
Peduli lindungi sangat membantu penyebaran covit 19,POSITIF
"Saya sudah vaksin tapi sertifikat tidak muncul di apk., kenapa?",NEGATIF
Abis di update instal ulang msih ngefrezz Parah bngt :((,NEGATIF
Download aja di browser. Terus jangan diupdate. Jadi deh,POSITIF
Kenapa aplikasi peduli lindungi sekarang setiap scan barcode selalu gagal mohon di perbaiki,NEGATIF
"Kenapa aplikasi ini sangat berat? Bahkan di hp oppo a37 ram 2 sdh tidak kompatibel ,padahal sebelumnya ada . alhasil aplikasi tdk ada di Play Store dan tidak bsa di unduh . Mohon perbaikanya agar bisa seperti semula . Terimakasih",NEGATIF
Ini kenapa apknya ngebug terus sih tolong segera diperbarui.,NEGATIF
Ok,POSITIF
Bagus,POSITIF
Bagus,POSITIF
Sangat membantu sekali,POSITIF
. 0,POSITIF
Slalu mantap,POSITIF
Saya sudah final vaksin,POSITIF
Ga bs buat scan juga..,NEGATIF
Bingung,NEGATIF
Keluar sendiri appnya,NEGATIF
Saya kasih nilai,POSITIF
Cobak,POSITIF
Baik,POSITIF
😋😋😗,NEGATIF
Oke,POSITIF
"sangat mendukung dalam melaksanakan kegiatan ,yg hrs menunjukan aplikasi peduli lindungi dan gampang ngakses",POSITIF
Mantap,POSITIF
ok,POSITIF
Sekian lama nunggu sertifikat vaksin akhirnya bisa di klaim juga. 1 tahun nunggunya ya rabb.,POSITIF
😊😊😊😊😊😊😘,POSITIF
Faedahnya gak ada,NEGATIF
bagus,POSITIF
Aplikasi cacat,NEGATIF
Sertifikat GK muncul GK membantu sama sekali,NEGATIF
Ko saya dah paksin duakali masih warna kuning,POSITIF
Sangat membantu,POSITIF
Knp kok gak bisa instal yah..padahal udah terdaftar .,NEGATIF
setelah di updat malah makin parah..gagal cek in terus ke tiap mall . gos dah bagus sinyal full ini masih aja gagal mulu..perbaiki deh..pusing jadinya kalo gini terus..syarat masuk mall harus scan di peduli lindungi tapi apk nya gak bener..hadeuuuuh,NEGATIF
ok,POSITIF
Gak jelas nih .. ruwett,POSITIF
Terbaik,POSITIF
Baik,POSITIF
Sangat baik,POSITIF
"Trimakasih,sdh membantu",POSITIF
Oke,NEGATIF
Baik,POSITIF
👍,POSITIF
Mantap,POSITIF
Bermafaat,POSITIF
Bagus selali,POSITIF
Ayo vaksin segera,POSITIF
BuLuuukkk beli pertalite gak bisa pake sertifikat covid,NEGATIF
Kemudahan dalam mengakses dan melihat sertifikasi vaksin,POSITIF
Good,POSITIF
Cocoklah biar bisa keluar masuk mall/perkantoran,POSITIF
sering bug,NEGATIF
"Membantu di segala bentuk perjalanan, sayangnya tiap kali login seringkali error/lambat respon/lag. Pengalaman yang sama bila sudah bisa login, pilihan masing-masing sub menu terasa berat di aplikasi ini.... walaupun tanda signal jaringan pada handphone berada pada posisi penuh.",NEGATIF
Ga jelas !!! Udh booster tp data n sertifikat vaksin ke 3 gak ada sehingga harus ribut sm org ASDP Aplikasi taik !!!,NEGATIF
Membantu,POSITIF
Lindungilah kami,POSITIF
Good,POSITIF
Apliksi memudah kita untuk proses perjalan naik transportasi umum,POSITIF
Menjak di update buat chek in slalu gagal sumpah ini sangat menganggu pekerjaan saya.. Sekalipun saya uninstall dan install lgi hasil nya tetap sama Untuk keluar masuk perusahaan ini sangat penting Apa ada kebijakan ?,NEGATIF
Bagus,POSITIF
Untuk aku sih bagus,POSITIF
Goodbye,POSITIF
"Sudah vaksin ke 3 tapi status masih KUNING. Gak Jelas , mohon segera diperbaharui",NEGATIF
Parah kalian,NEGATIF
Mandatory!!!. RIP HAM,NEGATIF
Cukup informatif...,POSITIF
Thank yuo,POSITIF
👋,POSITIF
"Vaksin sertifikat dosis 2 sampe sekarang belum keluar, saya tidak bisa masuk. Ke bank ditolak disuruh keluar, padahal tgl 10 Agustus sudah vaksin dosis 3 , smpe segitunya tidak ada sertifikat vaksin dosis 2 tak muncul. Di aplikasi. Payah",NEGATIF
Sangat bagus dan bermanfaat,POSITIF
Setelah update erorr .....?????,NEGATIF
"bagus, sangat bermanfaat",POSITIF
Ok,POSITIF
"Aplikasi menyebalkan, udah bikin akun malah disuruh ngisi verifikasi lagi, mana GK muncul verifikasi kodenya parah",NEGATIF
Saya Taty Rochayati mau tanya data Kartu Vaksin sy di vaksi ke 3 tgl 26 juli 2022,NEGATIF
Bgs sih tapi trs minta di update pusing dehk😤,POSITIF
Lmlooomml,POSITIF
ypv y. hjp88888888888888888888888888 i b h þ t. y cccccç,POSITIF
Semakin parah mau masukin tgl lahir aja harus klik perbulan gak bisa di tulis manual🖓,NEGATIF
Bagus sekali layan ini,POSITIF
Bagus,POSITIF
Mempersulit,NEGATIF
Sulit sekali menginput data sertifikat vaksin dan lambat kerjanya,NEGATIF
Ngak bisa tampil kan sertifikasi vaksin,NEGATIF
Sayabudh booster tapi knpa setiap chek in masih kuning aja,POSITIF
Apa ini .. Orang saya nanya gimna munculin sertifikatnya mlhan jawab nik salah nik salah Mulu ... Udah gitu di tanya yg lain nik salah lagi ... Sungguh tidak ramah bgt,NEGATIF
bagus,POSITIF
Sering gak bisa di buka menghambat perjalanan Aplikasi merusak acara perjalanan,NEGATIF
Ok zhip 👍👍👍,POSITIF
"Ribet. Hanya mau tanya kenapa sy sudah vaksin booster dikartu vaksin tapi tidak ada datanya di aplikasi. Eh suruh lengkapi data pake poto selfie ktp. Pinjol??? Kocak. Dah ga butuh apk konyol. Kl email aja gak jelas kenapa harus telp yg kena biaya pulsa dan itu pasti putus"" dan jelasin dr awal lagi. Seharian telp biaya bengkak solusi gak ada. Payah. Lha sekarang udah mau booster 2. Yg pertama aja ribet. 🐕",NEGATIF
"Gak bisa masuk lagi, tolong di perbaiki nih udah berkali2 tetep gak bisa. Nanti klo dah bisa aku tambah lg bintangnya",NEGATIF
ok,POSITIF
Nyari lokasi vaksinasi yang di rekomendasiin tapi gapada ada. Lokasi nya gk update. Payah saya muter2,NEGATIF
Tidak bisa cek in di mana aja semenjak aplikasi di perbarui,NEGATIF
Alhamdullah ber manfaat,POSITIF
Semenjak di perbaharui kok sertivikat saya blm muncul muncul ya padahal udah vaksin ke 3 dari hari rabu sampai sekarang belum ada sertivikat vaksin ke 3 saya,NEGATIF
Aplikasi sampah dan paling ga bermanfaat 👎👎👎👎👎,NEGATIF
"Cepat, akurat",POSITIF
pdhl udh di registrasi pake nik ttp aja gbs,NEGATIF
Gaje,NEGATIF
Ok,POSITIF
Kog setelah di update tidak bisa dibuka ya aplikasinya....?,POSITIF
baik,POSITIF
Ok,POSITIF
Awalny bikin sy bingung kok aplikasinya hilang tp setelah sy acak acak buka semua akhirnya ketemu...soalnya beda isi aplikasinya sprt dulu yg langsung kotaknya..mungkin pengaruh usiaku jg yg cpt bingung jika ada perubahan sedikit..marah deh...mohon maaf🙏,POSITIF
Lanjut kan peduli lindung yg terbaik,POSITIF
Install ulang dgn versi yg sama baru bisa login. Aneh apk ini.😏😏,POSITIF
"Gw ksh bintang satu dlu...di pikir hp yg gw eror ternyata apk nya yg jelek masa iya gk bisa input data,,,mohon segera di perbaiki",NEGATIF
👍,POSITIF
Semoga aplikasi ini dapat berkembang fiturnya agar memudahkan warga dalam mengakses kesehatan. Saran fitur yang bisa di tambahkan 1. EMR (Electronic Medical Record) yang terintegrasi antar faskes sehingga penanganan pasien lebih baik 2. Integrasi dengan BPJS Kesehatan sehingga memudahkan dalam klaim 3. Integrasi terhadap penyedia obat seperti BUMN obat dan faskes dalam ketersediaan obat dan lokasi pengambilan obat 4. Integrasi pelayanan tiap faskes seperti registrasi dan booking dokter,POSITIF
J9.9.p0.0p.0p0000oo8n77n J^_^>.<;):-!*\0/*;-):-:-$:0:-$:'(=-O(TT)7 0.77nn7r h6 svr .8. 0777.08mppp7.80 l Lp 0p. L.o.9m.ooo o0.0p8.8.8.kii8nun8.o9 0 . 00 0 0 0p..000.0pp,POSITIF
KWEREN,POSITIF
Semua sertifikat sudah terpenuhi kenapa check in gagal,NEGATIF
Huuu,NEGATIF
Sering eror,NEGATIF
Yayaya sangat membantu,POSITIF
"Saya udah install aplikasi ni buat nanti pulang ke Indonesia, tapi ketika daftar pake nomor telpon, pake email pun gak bisa bisa....gmna ni..? Apa tidak bisa daftar di luar negeri ? Mohon pencerahannya.....",NEGATIF
Bagus dan bisa di gunakan dimana saja,POSITIF
info faskes booster tidak ada,NEGATIF
"Lelet, terkesan menghabiskan waktu dengan mengisi ulang sertifikat vaksin, dll.",NEGATIF
jm,POSITIF
Mantaaap bagus,POSITIF
ceckin gagal,NEGATIF
Ok,POSITIF
Mantap,POSITIF
Good,POSITIF
Sudah vaksin 3 sertipikat ga keluar...,NEGATIF
Mempermudah prokes,POSITIF
Siip,POSITIF
Halo versi skg ud gx muncul waktu berangkat lg yah,NEGATIF
"Udah booster 3 tapi blm pernah ke tempat yg ada scan nya gtu . Sejauh ini bagus kok , selesai vaksin ke 3 langsung jadi dong sertifikat vaksin nya di apk nya . GokiL sih, terima kasih ya peduli lindungi",POSITIF
Lambat dan sering crash,NEGATIF
Ok,POSITIF
So so lah,NEGATIF
Sangat baik,POSITIF
app jelek,NEGATIF
👍👍👍👍👍,POSITIF
"Apk mu ini sedang galaw yak, buat kepentingan umum yang ngewajibin pemerintah sndiri kok hasilnya kaya gini, burik banged🤣",NEGATIF
Sangat memuaskan dalam pelayanan,POSITIF
"Gk jelaas aplikasi masuk mall scan scen... sekalian masuk wc scan masuk rumah scan .. semuanyaa serba scan bangkrut lama"" ham sudh tidak ada di indonesia",NEGATIF
Mudah di gunakan,POSITIF
Sagat bagus,POSITIF
Kenapa nih?!,NEGATIF
Bagus,POSITIF
Ok,POSITIF
Bisa,POSITIF
"To the point aza tetap kasih 🌟 1 klo ada 🌟 mines 1 , udah vaksin booster ke 3 setengah dosis(vaksin astrazeneca,hari Jumat tgl 22 Juli 2022 jam 14.15 sore di borma Setiabudi bandung(mlm nya sampe sakit seluruh tubuh!)hingga saat ini sy cek berkala blm ada hasilnya,pa blm di input ya?!masa mau 1 Minggu blm ada sertifikat vaksinnya!lama dan lelet kerja nya,""anda itu di bayar sama negara,krj kok serampangan,jgn mempersulit keadaan""mau di pake sertifikat vaksinnya jd ga bisa,kecewa sekali,miris!!!",NEGATIF
Sangat membatu,POSITIF
Mantap nih ...sukses terus,POSITIF
Ok,POSITIF
Merasa puas,POSITIF
Good,POSITIF
Ok,POSITIF
Kenapa servitikat vaksin saya nggak muncul di peduli lindungi padahal saya sudah beberapakali melakukan buka servitikat vaksin tapi kok nggak bisa,NEGATIF
Peduli Lindungi,POSITIF
Oke bgt,POSITIF
Makasih puas banget,POSITIF
💕💌🧡💕💕,POSITIF
Kemarin udh vaksin ke 3 eh malah pusing,POSITIF
"biar maju aja, daripada ngasih yang negatif terus",POSITIF
Biasa sj.,NEGATIF
Bagus,POSITIF
Sudah 3x vaksin,POSITIF
Bagus,POSITIF
Bagus,POSITIF
Ok,POSITIF
"Ternyata aplikasi ini sulit ya, setelah datadiri masuk setelah ganti nmr masukin nmr baru ga bisa, sertivikat vaksinya ga kluar, mungkin bisa klo masukin nya nmr yg sudah di masukin daftar vaksinasi. Tpi syg nmr sya sudah ganti dan klo pun ingat nmrnya ada kode buat verivikasi k nmr yg udah ga aku pake dan hilang. Tak kira klaupun nmr nya baru klo data dirinya bnr bisa langsung muncul sertivikat vaksin nya. Aplikasi ini g semudah itu y,",NEGATIF
Bagusssss,POSITIF
Ok sip,POSITIF
Sangat baik,POSITIF
Sangat memuaskan,POSITIF
eeim,POSITIF
Bagus,POSITIF
Mantap,POSITIF
Apak nya bgus banget,POSITIF
Sering gagal check-in,POSITIF
Mantap,POSITIF
"Hasil test antigen istri saya di klinik yg sudah resmi terdaftar tidak masuk ke PL nya, test nya berbarengan dgn saya, hasil test saya sih masuk. Aplikasi PL sdh versi 4.5.0. Sudah dicoba uninstall dan install ulang. Hasil tetap sama",NEGATIF
Mantap,POSITIF
Gak bisa di download,NEGATIF
MEMBUSUKLAH DI NERAKA!!!!,NEGATIF
Koncol,NEGATIF
SANGAT MEMBANTU,POSITIF
Motivasi data tersimpan rapi...,POSITIF
Aplikasi ini Kren dan sangat praktis,POSITIF
Ruwet,NEGATIF
Buagus,POSITIF
Ok,POSITIF
Good job,POSITIF
Minta info booster bulan dimana,POSITIF
Setelah upgrade sertifikat vaksin hilang semua hingga vaksin booster dan lebih parahx kita kudu input lg mulai tgl vaksin pertama hingga booster kl memang aplikasi udah diupgrade harusx sertifikat kita otomatis ada dunk... Aplikasi malah tidak bisa ngabantu masyarakat haaadddeeeeuuuh 👎👎👎,NEGATIF
Layanan tidak dapat dibuka,POSITIF
Bahasa nya gak bisa diubah,NEGATIF
Udh vaksin boster tp gagal scan in,NEGATIF
Biar aman kemana2 tanpa ragu lagi,POSITIF
Mantap,POSITIF
Baik,POSITIF
Bgs,POSITIF
Terimakasih,POSITIF
Nais,POSITIF
Aplikasi keluar sendiri,NEGATIF
Mantap,POSITIF
"Aplikasi sampah... seluruh masyarakat dipaksa vaksin yg sehat jadi sakit-sakitan, apakah ini visi misi jokowi....?",NEGATIF
Aplikasi ngabisin baterei,NEGATIF
Mantap,POSITIF
Ok,POSITIF
Aplikasi yang smartphone canggih akurat.,POSITIF
Aplikasi kntol. Ribet x kau. Uda cape cape booster sampe lengan bengkak. Sertifikat muncul pun gak. Mau di klaim pun uda sesuai data pun eror. Apk kntol. Kulapor polisi kalian kalau sertifikat booster disalahgunakan,NEGATIF
Keren cerdaz,POSITIF
Gguna,NEGATIF
Sangat membantu,POSITIF
👍😊🥰😘,POSITIF
usename not allowed saat login memasukan kode otp,POSITIF
Layanan cepat,POSITIF
Good,POSITIF
