content,score
Bagus sekali,5
Ok,3
Apk Busuk,1
"Kenapa gak bisa daftar? Malah banyak eror nya. Disaat lg penting"" nya malah tidak mau untuk daftar",1
"Hallo min Mau bertanya, knpa di aplikasi Peduli ini skrg tidak ada fitur E-Hac Terimakasih",5
mantep banget,5
Ok,5
Video,2
👍👍👍👍,3
Oke,3
Aplikasi yang sangat bagus,5
Lelet,2
"Aplikasi MENYULITKAN, SERTIFIKAT VAKSIN GA BISA MUNCUL, MALAH MINTA TGGL TERAKHIR VAKSIN, MANA SAYA INGAT SUDAH 2 THN YG LALU 🤨",1
Kenapa aplikasi peduli lindungi saya not found terus,2
Sangat membantu,5
Ok,5
Mantap,5
Ini bagaimana cara cetak sertifikat jika lupa tanggal vaksinnya.,1
Abcdefgh,5
Masih buruk,1
Mantab,5
Selain covid 19 saya merasa kebal juga flu biasanya suka sering flu sekarang tidak,5
om,5
Maaf kenapa sertipiket vaksin saya kokjadi pertama semua ya.,2
"Sudah vaksin dua tapi status warna masih merah kocak2, niat buat apk ga sih, parah banget",1
🙏,5
Saya sudah bikin keluhan lewat email buat ganti nomor hp karana keblokir tp tetep tidak bisa masuk ke akun saya.... Karna nomor yang terdaftar sudah terblokir tapi malah di sarankan login....,1
Sangat membantu,5
mkkunkkmk,1
Ingin ndaftar vaksin boster ke 2 .,5
Terlalu sibuk dengan fitur baru. Masalah lama belum kelar. 1. Perbaiki riwayat tiket vaksin 2. Data sertifikat vaksin tertukar tukar 3. Status Hijau (Terhitung 3). Padahal sudah DO satu. Harusnya Kuning kan. 4. Memperhatikan No. 3 akhirnya ticket vaksin Booster tidak keluar-keluar dan di puskesmas menolak vaksin tanpa tiket.,1
Cukup memuaskan,3
"Masih buruk aplikasi nya, mau cek sertifikat vaksin malah ngeblank layar putih doang. Tolong lain kali cari progammer yang bener bener pro",1
Data bocor hahahaha,1
"Bikin ribet aja dihidup ini,sangat sangat tidak bagus,buang2 uang saja.",1
Bagus,5
Mantap. Kembangkan!,5
Mantap,5
Cukup baik,4
Ok,5
Nggak bisa daftar ulang dengan KTP yang sama,1
Saya sudah coba ber ulang kali buat log in tapi gk bisa lewat email gk bisa lewat no hp juga gk bisa cara ngadunya kemana ya?,1
Bagus,5
Kok gak bis ngindtal,5
Baik,5
Sangat membantu dalam perlindungan Covid dan mencari jadwal Vaksinasi,4
Msh kurang bagus dan akurat,4
Yoi,5
Mantap,5
Ngga bisa cek sertifikat,1
Terima Kasih Banyak.,5
Good,5
"Kenapa aplikasi tidak bisa digunakan ,saya mau kerja ,mau cetak sertifikate",4
Good,5
"Bisa bisa nya sertifikat vaksin saya di DO (DROP OUT), emang vaksin saya nakal suka bolos pake di DO segala, aing jadi suntik 4 kali",1
masih banyak bug,1
"Semakin hari semakin baik bisa sambung dengan e-Hac Indonesia, tgl 23 11 2022 dapat undangan booster kedua, saya langsung booster II, hari ini sertifikat vaksi booster II sudah muncul di peduli lindungi ... Semangat ...!!!",5
ok,5
Bagus,5
Vaksin 3sdh,5
Ga bisa login,1
👍,5
Sudah vaksin ke 4 tapi sertifikat dr vaksin pertama tidak dapat di akses. Padahal sudah di update terus,2
Nunggu boster kedua... indovac,5
Ill lebih Bo L B h jl .. Nun mm.jk Iin i PP l mm oo PP Lo Ivf FB,5
Bagaimana cara mengecek sertifikat vaksin dengan menggunaka no hp yang baru? (Hp lama di maling orang),5
Makin cepat dan mempermudah lansia (khususnya) menerima informasi,5
Sampah,1
Sangat mmbantu,5
Hadehh pembaruan trus,1
Kenaoa ga bisa bisa di down load.,2
Klok bisa aplikasinya bisa gabung jkn atau aplikasi lainya biar gk kebayakan aplikasi,4
Banyak membantu,5
Mohon jawaban. Sudah vaksin kok belum muncul di Aplikasi peduli lindungi,1
"Saat akan klaim vaksinasi covid, ngisi data tanggal lahir nya susah karena harus di scroll, dan makan waktu banyak.",1
🥰,5
👍👍👍,4
Bagaimana caranya sebab handphone serta kartu lama hilang,2
"Knapa jdi bgni skrg peduli lindungi ga bsa cek sertifikat vaksin, cek hasil swab malah ngeblank putih semua, dlu ga bgni",2
Padhal udah di vaksin kenapa strifikat nya blm ada padhal nik udh bner kk bnerr kenapa eror,2
Info yg bagus tetap up date,4
"Setelah buka sertifikat vaksin,layar nge blank berwarna putih.padahal saya sudah login via email dan di sistem versi web sertifikat vaksin nya muncul.mohomln di perbaiki bug nya",1
"Terganggu perjalanan gara2 pemeriksa cek bukti vaksin, aplikasi dibuka mau liat sertifikat vaksin cuma layar putih padahal hbs di update, jd ribut dah sama petugas mau scan malah ngelaq, sumpah ini malah jadi pempersulit bukannya mempermudah, tolong segera diperbaiki jgn cuma peraturan yg diterapkn aplikasinya juga hrs mendukung lah klo ky gini merepotkan dan sangat mengganggu aktifitas",1
"Saya mmg blm pernah menggunakan ini,,,karena nggak pernah kemana2,,🙏",5
Alhamdulillah setelah diberi vaksin pertama dan kedua serta vaksin Booster pertama kondisi kesehatan makin baik.Selanjutnya saya menunggu giliran boster ké 2 i,4
"Aplikasi gak jelas, gak bisa login.",1
Ok,3
sangat bgus,5
Terlalu banyak bug,1
Jadi kita bisa tetap menjaga prokes,5
Oke,5
Puas,5
Tidak bisa d buka setelah d update,1
Saya waktu penerbangan ke Medan Tgl 13 nov 2022 dgn mudah pakai aplikasinya,5
Parahparah bugnya,1
"Stl divaksin booster badanku baik baik aja,tidak panas,tidak meriang dan percaya diri bertambah,tapi masker tetap dipakai klu keluar rumah,umurku 75 tahun",4
Bukannya covid uda di hilangkan knapa gue positif trus buat apa vaksin kalau Masi kena pas kena gue cek Paksin gue di hilangkan apa maksudnya ini,2
Ok,5
"Halo Saya tidak bisa login,tulisannya user not found. kalau daftar tulisannya anda sudah melakukan 3 kali pengiriman kode. ini bagaimana solusinya ya?",2
"Terus aja perbaharui,ngabisin quota n waktu",1
Vaksin covid 19 telah membantu saya untuk hidup sehat dan menjaga diri dari terkena dan tertular covid 19,5
perjalanan lbh mudah dan lancar tnp gangguan dan ga ribet saat beli tiket kendaraan umum,5
Jwlek,1
Semakin cepat akses nya..👍👍,5
Buruk,1
Maantap,5
Gudddd,5
"ribetnya pas mau kasi masuk tanggal lahir gak bisa langsung ketik,tekan terus sampek belakang,dan no nik ktp udah cocok malah,tolong masukan no nik yang benar,emang kurang benar apa coba no nik nya,akhirnya balik lagi ....cari tnggal lahi hufff capekkkk",1
Sertifikat vaksin saya mana kok pada gak ada saya butuh buat kerja saya sudah memenuhi nya kenapa pada GK ada,2
Sangat baik,5
Cukup baik,3
Buruk,1
"sangat jelek sekali, saat pencarian tempat test antigent tidak bisa",1
Hoxs,1
Selalu tercatat vaksinnya.,5
Mudah dan cepat,4
Mantap,5
"Masih kurang bagus sering bberhenti dengan sendiri,sekarang sertifikat vaksin tak bisa dibuka",1
aplikasi ini bagus,5
Apk tolol mau liat sertifikat ajah ngga kebaca padahal jaringan kenceng buat liat yutub apa bokep ajh kenceng .masa mau liat tambhkan sertifikat white screen doang,1
Mantap,5
Dengan peduli lindung semua dapat berjallan lancar,5
Top,5
Mantap,5
Good,5
"Kolom utk bantuan umum nya masih terbatas, sementara ada yg perlu disampai/dikeluhkan selain terkait aplikasi tsb, seperti contoh mau bertanya tentang apakah masih tersedianya jenis vaksin tertentu di daerah yg bertanya itu berdomisili, dll. Klo ada kolom pertanyaan lainnya pasti saya kasih bintang 5. Tks",4
Good,5
Mantab,5
Ok,5
"Baru juga vaksin mau cek sertifikat vaksin eh udah dikatain ""terlalu banyak upaya kembali lagi besok"" Gajelas apk",1
aplikasi macam apa ini. nyesel aq ndonlod,1
Sangattt burukk di buka sertifikat nya tidak bisaa jelekkk gimana nih pak /bu👎🙅👎🙅❌❌👎🙅👎🙅👎🙅,1
Sangat membantu dan bermanfaat,5
Aplikasih tidak dapat mengembalikan akun saya yang lupa nomor telpon dan email,1
Baik,5
"Ac _}/,d 2222@ 5",4
Mempermudah kita..👍👍,4
Mantap,4
"Informasnya gimana sih, saya udah vaksin dosis 3 dari lama tapi di apknya belum muncul, malah disuruh vaksin dosis 3 lagi padahal sekarang vaksin ke-4. Tolong dong ini cem mana",1
Terima kasih sangat membantu,5
"Mau cek sertifikat aja gak bisa, cuma muncul layar putih",1
Mohon maaf ibu saya sudah melakukan vaksinasi ke 2 jadi saya mau Liat sertifikat saya berhubungan sertifikat saya sudah hilang jadi saya harap bisa cek di aplikasi peduli lindungi nyata nya setiap saya cek terdapat banyak masalah,1
Seru,5
Kok gabisa buka aplikasinya,1
Good,5
Jelekkkk,1
Josss,5
Sangat bagus.,5
"file sertifikat WHO tidak muncul, padahal sudah ada notif berhasil di download, tolong segera di perbaiki, terimakasih",1
Tidak bisa cek sertifikat Vacsin,2
buruk,1
GABISA LOGIN APLIKASI T0L0L SEPANJANG MASA,1
Bermanfaat untuk saya & keluarga insha Allah sehat selalu.. amin,5
Ok,3
Semakin lebih baik,5
ga jls apa2 update,1
Oke,4
Bsgus,5
Lumayan,4
Dikatakal usia ygy model baju klo tepar,2
Smkin di update semkin kacau,1
"Untuk fitur ehac di aplikasi gak ada lagi?, Truss kalo mau melakukan perjalanan udara bagaimana?",1
Aplikasi terbodoh yang pernah pakai.,1
Bagus,5
E tiket ke 3 untuk booster belum keluar,5
Sertifikat vaksin kok bisa dibuka,1
Saya suka aplikasinya sangat membantu sekali dan mudah menggunakannya,5
good,5
Berguna banget,4
Mantaap,5
Tetap di kembang lagi aplikasi nya agar memudahkan masyarakat sebagai presedur,4
Buruuuuuukkkkkk sekali...maaf terpaksa saya beri nilai ini sangat buruk..,1
Sangat memuaskan,5
"Aplikasi gak jelas, nama selalu gak valid, yang ngasih nama bapak dan emak gw juga. Nomor NIKnya bener namanya selalu salah.",1
Good,5
Ok,5
Top,5
Tidak memuaskan..sering error,2
Min gimna cara nya kita login ke aplikasi ini tapi nomor nya sudah tidak aktip lagi atau hilang kartu nya,2
Peduli lindungi Apa manfaatnta ?,5
Mantap...,5
Aplikasi sampah,1
Asiap,5
"Kalau aplikasi ini penting, tolong support sistemnya lebih baik lagi. Data sudah sesuai baik nik dan nama tapi disistem malah ngebug. Bikin emosi aja. Pegel jari ngulang2 ngetik, trnyata apknya yg sangat buruk",1
"Apa ini peduli lindungi, apa itu vaksin, apa itu corona ?",1
"ga bisa masuk, selalu ada tulisan user not found:( nyoba daftar ulang tulisannya nama dan nik anda sesuaikan dengan KTP, padahal udah bener:'(",1
a1,1
Ok,4
"untuk pihak pengembang tolong bug di urus, saya mau upload foto profil saja di disuruh masukan nama sesuai dengan ktp, sudah saya coba beberapa kali tetap sama saja. padahal aplikasi ini sangat penting tpi kualitasnya banyak bikin orang menderita",1
"Gabisa menambahkan data anggota lain di pedulindungi, aneh dibilangnya data salah blabla",1
aplikasi gabisa menampilkan sertifikat,1
Sangat sangat membamtu,5
Super buruuuuuuuuk..data dilpangan gk cocok dgn data yg di input di sistem..jd ksulitan untuk log in,1
Very good,5
Sudah punya akun tapi ngga bisa masuk buat apa coba apk nya??,1
"Aplikasi yg gak layak, susah dan gk bisa di pakai",1
Tiap buka aplikasi harus perbarui 😥😥,2
Mengurus akun yg udan ganti nomer gak kelar2,1
Sangat membantu,5
"Apk ny g jls pas pencet hasil vaksin malah putih di tungguin lama"" ttp g kebuka",1
Great,5
I Ź,4
Tolong di perbaiki aplikasi ini ya,4
"bagus vaksin saya yg dri LN bisa aktif,tapi sayang vaksin saya yg dosis ke3 booster mala gk terdaftar di aplikasinya..tolong pak di permudah untuk masuk..terima kasih",5
Sangat memvantu,5
Sangat bermanfaat,5
"Status vaksinasi saya tidak muncul,sudah 3x vaksin & keluar sertifikat tapi skrg tidak bisa tampil alias hilang",3
Errrorrrrrrrrrre,1
Terbaik,5
Manrap,5
Siip,5
Aplikasi lekk,1
Pas mau masuk mall ini apk mendadak eror trs,3
Sangat membantu dlm perjalanan,5
Kenapa tidak ada verifikasi kodenya,1
Operasi apk ini buruk sekali seperti tidak ada sinya atw respon dr server.,1
"kenapa App.peduli lindungi aku nggak bisa di buka,atas nama ZAENAL ARIFIN",5
Mantap,5
Bagussss,5
Aplikasi ny sih berguna cumq gk tau org ny apq aplikasi ny yg eror gk bisa masuk akun ngomng ny perbqikqn trus tanpa ada solusi,1
good,5
QQ,5
PeduliLindungi kemana mana harus sama dia,5
"Terima kasih kak samy sudah membantu, aplikasinya keren.",5
Mohon pak untuk dievaluasi lagi Setelah diinstal kok gak bisa dibuka,1
Maap gmail aku dh terdaftar tapi gak bisa masuk 🥲 padahal dihp sebelumnya bisa tolong kenapa ya?,1
Sws,1
siiiiip👍👍👍👍👍,5
"Harus pindah data vaksin luar negri ke indo biar bisa booster, paling lambat di setujui 3-7 hari, tapi udh 11 hari ga ada apa apa. Emang orang indo tu suka ribet, hal yg harusnya gampang selalu aja dipersulit, susah hidup di negara antah berantah ini memang",1
Aplikasi paling kacau didunia,1
aplikasi lemotttt,1
"Aplikasinya ada minusnya... Saya login pakek no hp, tp no hp nya udah nggak aktif. Trs di aplikasi nya nggak ada opsi sama sekali kayak no hp ganti, verifikasi lewat email aktif dll... Dan juga kalo pas registrasi/daftar, opsi email sama no hp jadiin satu, wajib diisi, kalo no hp ilang, verifikasi lewat email yg terdaftar. Setidaknya kasih opsi pilihan buat user yang punya kendala buat login. Kalau bisa dikasi kontak CS juga diaplikasi, buat bantu user kalau² ada problem.",3
"Oke sudah berfungsi dengan baik.saran buat para pengguna aplikasi ini yang mengalami error, silahkan menggunakan aplikasi ini di hari dan di jam kerja saja.",5
Update Pedulilindungi,5
"Update nya lemot gini sih pdhl kouta internal full, tolong deh diperbaiki serve nya",5
Senang dg adanya aplikasi peduli lindungi,5
"Masak cari tanggal lahir sama tgl vaksin lama bgt... nunggu nganti bulan 1, 1... sampeak 1 jam belum nyampek... Aplikasinya lemot gagi... ini saya 28 tahun laa yang 50 tahun lebih gi mana... Penataannya gak jelas...",1
Ok,4
Susah login bisa di bantu kah,2
"aplikasi gembel bnget, hp ilng email ga bisa, pas masuk susah di telepon, buatin laporan , ga selesai selesai ampe sekarang. .",1
Kenapa sudah vaksin ke 3 tapi di sertifikat belum ada tolong solusinya LG butuh soalnya,3
Mantap,5
Mantap,5
Z☆☆☆☆☆0♧.,5
Aplikasi bagus dan membantu,5
ok,5
Aplikasi gak guna udah masukin nik sesuai ktp tpi kata aplikasinya tidak sesuai,1
Aplikasi nyusahin.. milih tgl lahir aja nyusahin,1
Ok,4
Oke,5
Terima kasih,4
Mantap,5
Ok,5
Om,4
Ni gmn sh . Msa mau daftar aj . Ad peringatan hrus sesuai nama dan nik . Pdahal nm dan nik yg sy msukin itu udh sesuai ktp,1
No drop no bochor bochor,1
Gw dah bosster masih aja kuning tuh aplikasi apa ga di data kali 😏,1
Ck dulu,4
Nyusahin rakyat,1
"Di perbaiki lagi sistim nya, pdhl udh ku kompeln ganti no hp , d SMS ada d pedulilindung tdk bs masuk knp ,tolong d perbaiki lagi",1
"Saya sudah bikin laporan ke kemenkes lewat wa saya,hp saya hilang dan sim card,saya tidak bisa login,Bikin laporan perubahan Nomor,ke nomor baru sampe sekarang Kga bisa,,aneh kemenkes kerjaanya ngapain kalo masyarat ajah kga bisa di atasi",1
Yeah.,5
tidak bisa dibuka,5
Buruk banget. Mau login dan daftar gak bisa mulu gila... Udh nelpon ngabisin pulsa tetap aja gk bisa..buruk aplikasi lu!!!!!,1
"data tidak aman, bikin ribet masyarakat",1
Sangat. Membantu bagi kami..bila bepergian pasti di tanya,5
bgt,5
"Ok, tidak harus membawa berkas",5
Apk GK jelas dodol GK guna beban masyarakat GK bisa di pake kagak jelas Gw udh vaksin masa.gk ada data vaksin tolol cok,1
"Aplikasik gajelass , sudah 4 kali saya pengajuan lewat telp 119 , lewat email , lewat whatsapp pedulilindungi untuk mengganti nomor dan hampir satu minggu saya msh belum bisa login diaplikasi menggunakan nomor baru . PERBAIKI!!!!!!!!!!!!!",1
Bagus dan sangat membantu,5
Cek sertifikat vaksin aja susah banget,1
"Apps pemerintah performa ga diperhatiin, busuk",1
"ditujukan kepada pemerintahan,jika tidak bisa membuat apk yang berguna janganla membuat apk yang buruk dan mudah terbongkar. #dampakkecolongandata #ulahbjorka",1
Maksa banget sih harus update 🤨🤨 Udah itu lelet lagi padahal jaringan bagus Malass banget Kecewa banget sihh sama aplikasi ini tiap mau buka update teruss😓,1
Peduli lindungi top,4
"Sy sdh vaksin 1, 2 & booster 1 Tapi yg muncul hanya sertifikat vaksin 1 & booster 1 ... Vaksin 2 tidak muncul, & sy terkendala jika masuk fasilitas umum (KAI) tidak bisa",1
Sangat membantu.,5
bagus aplikasi nya,5
😄😄😄😄😄😄😃😄😄😄😄😄😄😃😃😄😄😄😄😄,5
di_belakeng,5
Setelah update malah gak bisa lihat sertivicat vaksin saya.....versi 4.5.1 dan versi 4.5.2 tapi klu turun ke versi 4.5.0 semua normal .sampai sekarang ttp blm bisa.makin lama makin gk bisa di pk.......,1
Aplikasi ini sangat bagus memudahkan kita memenuhi kebutuhan perjalanan dan persyaratan administrasi,5
Unqm17janana bt,2
lag ga bisa liat hasil faksin layar blank putih,1
Sya sudah vaksin ke 3 belum muncul2 sertifikat nya kenapa ya pak / buk ????,1
"Aplikasi kakehen ngising, kode otp ora gelem mlebu padahal nomer ws bener",1
Luar biasa sangat akurat,5
"Bikin susah aja nih aplikasi. Hrusny klo nmr n email lama ga bisa kepake lg mestinya ada solusi agar mengganti nmr atau email baru biar bisa log in. Mau kita regis dr awal ga bisa jg krn NIK udah terdaftr. Solusi woy, solusi!!! Jgn mempersulit rakyat dg sgl mcm kebijakn yg makin memperparah keadaan",1
"L o 0 o S ,,,, z xx9x ,, 0 .l .",5
Sangat membantu...,5
Knpa gk muncul sertifikat vaksinya di aplikasinya ini,1
"Aplikasinya makin berat, susah untuk di install ulang",2
Harus sering perbarui malas,1
"Guna nya buat apa sih ,ni qplikasi? Cm buat scan scan doank? 😑",1
Tidal bisa liat dan unduh sertifikat hanya blank putih,1
"Saya tidak bisa login karena no saya sudah tidak aktif, mencoba daftar baru dg no hp yg baru tapi tidak bisa karena nik sudah terdaftar. Mohon solusinya",5
Mau daftar aja susah.,1
"Jadi HP kan hilang beserta kartu simnya.. Nah saya mau masuk aplikasi lagi nihhhh.. Harus masukin nomer telfon,krna saya gk daftarin email,jadi harus pke no telfon.. Dan harus masukin kode verifikasi yg di kirim ke WA atau pesan.. Tapiiiiiiii kan posisinya tuh kartu SIM udah ilang, gimna ya??? Ada solusinya gak??? Saya daftar baru juga gk bisa,krna NIK saya sudah terdaftarkan.. Gak mungkin dong saya vaksin ulang?? Mohon di bantu admin 🙏 saya mau kemana2 jadi ribet bnget perkara gk scan barcode",3
Bagus,4
Bagai mana cara nya data vaksin saya yang ke tiga tapi cuma ada dua sertipikat malah vaksin saya yang ke 3 bisa jadi no 2.. saya perlu serripikat vaksin yang ke 3 saya..,3
"Saya Agung Nugroho. Maaf saya kasih bintang 1 karena semakin kesini ko saya malah makin susah, padahal saya sudah berdoa dan bekerja keras, saya sudah bingung mau kemana lagi, ada loker ngga?",1
Baik,4
"Payah, d update buknnya tmbah baik tp mlah lemot, mw cek sertifikat lalodnya seabad pdhal jringn sngt bgus",1
Ini gimana ko mau di scan valid terus why,2
"Login abistu donlot sertivikatnya aja, kalo diminta scan tinggal tunjukin aja dari galeri, kebanyakan aplikasi menuh2in memory doang ajr lah.. be smart and digowo simple wae.",2
"Aplikasinya tidak bisa terbuka, tidak bisa digunakan, keadaan lagi mendesak",1
Sangat bermanfaat sekali,5
"Ini kenapa ya,kok saya gak bisa masuk lagi,saya ganti hp,downlod lagi dan mau login,kenapa gak bisa,udah saya ulang ulang",1
3v o 57,3
Bagaimana cara download kartu vaksin di aplikasi bodok ini..,1
Oke,5
sukss,5
"Mohon bantuan log in dong, karna no telefon yg saya gunakan untuk log in hilang saya jadi ngga bisa masuk nih gimana, mohon solusinya",3
Bagus aplikasinya,5
Mantap,5
Luar biasa,5
Good,5
Baik,5
"Kenapa ini aplikasi susah sekali di buka., sangat2 mengecewakan menurut saya",1
Shiiplah,5
"Mohon maaf min🙏🙏 aplikasinya setelah diperbaharui kok makin lemot dan sangat susah dibuka 🤦🏻‍♀️😔 padahal dulu apk ini sebelum saya perbaharui sangat lancar dan setiap membuka menu sertifikas vaksin selalu mudah dan cepat.tapi sekarang semakin lambat diakses dan jelek.tidak pernah muncul di layar,malah warna putih saja🙏🙏😔 padahal sinyal WiFi plus sinyal data internet bagus",2
"PERMISI ADM, 🙏🏼 SAYA MAU BERTANYA SOAL NIK SAYA SUDAH TERDAFTAR 3X DAN SEKARANG SAYA GANTI HP JUGA MAU MASUKKAN NIK TAPI SUDAH TIDAK BISA , ITU KONFIRMASI NYA GMNA BIAR BISA SAYA CEK IN DAN MASUK KEDALAM LAGI🙏🏼🙏🏼",5
Ok,5
Baik dan bantu operasional kesehatan di aplikasi,5
"Aplikasi pemerintah kok malah kayak aplikasi Abal Abal ,masak pengecekan sertifikat layar putih,tolong pak aplikasi nya ditingkat kan,kami di desak untuk patuh dengan peraturan tapi sarana layanan nya kayak begini ,bikin susah aja aplikasinya kalo begini terus",1
Meringankan dalam aplikasi ini,5
Aplikasi gak jelas.,1
"Sangat membantu, semoga data saya tidak di curi/kebobolan seperti orang lain, karena saya memberikan tanggapan positif pada aplikasi hebat ini :)",5
Bukan,5
Error mulu mau liat sertifikat vaksin,1
"Sama seperti ulasan lainnya, mmg parah banget aplikasinya setelah diupdate..buka aplikasi lama..g bisa scan barcode..cek seritifikat cuma muncul layar putih...sdh sampai mana nih progress perbaikan aplikasinya??",1
Sangat membantu,5
Oke,5
"Ini gimana sih min saya mau daftar tapi nama nik Harus sama dengan KTP,udah saya samain tetap knyak gitu terus GK bisa masuk solusinya min🙏",2
Bagus sih buat liburan ya maaf cuman kasih bintang 4,4
Cukup bagus,5
"Jelas2 saya udah vaksin bahkan di menu sudah ada tulisan vaksin dosis 3. Tapi kalo cek bagian sertifikat nya ada tulisan belum ada riwayat sama sekali. Sumpah aplikasinya buruk banget. Katanya nama & NIK saya salah. Padahal udah sama persis sama yang di KTP. Aneh banget gak tuh. Untungnya dulu langsung download sertifikat 1,2 & 3. Tolong diperbaiki ini udah 2022 loh. Tapi masih sama gak ada peningkatan sejak awal rilis 🤦‍♀️",1
Sangat membantu,4
Mantap,5
orang lain lain lain,4
Ok,5
Mantap,5
Mantap ✊,5
Mantap,4
"Aplikasi kntI gk bisa liat sertifikat vaksin, padahal udh kirim email ganti nomor hp karena yng lama nomornya hilang",1
Berguna utk naik kereta dll...,4
Ok,5
Ok,5
Gimana sih saya sudah vaksin booster tapi di apk nya blm ada sertifikat nya malah cuman ada dosis 1 tolong update data nya dong atas nama Asep Dani,2
"👍Mantap, Membantu dan Melindungi",4
Sangat membantu perjalanan,5
Tidak bisa update ulang tak ada spesifikasi tuk Hp saya. Hp saya sudah lumayan ok loh samsung A21s😁. Tambah dong pilihan nya pak menteri,1
"Saya blm vaksin boster petama tapi kenapa saya sudah dapat sertifikat, tertera saya sudah di suntik vaksin booster di polres bogor tanggal 22 maret.. padahal saya blm di vaksin...",1
Aplikasi buruk Jelek lelet,2
Baik,5
Gimana sih kak aplikasi nya,1
L_di,4
Mantap,5
Sangat membantu utk melihat sertifikat juga jadwal vaksin.,5
Good,5
"Lumayan bagus aplikasi nya, saya sangat menyukai nya......",5
Sangat bagus,5
Aplikasi mantab.. deteksi diri dan orang lain,5
Bagus buat penerapan kesehatan,5
ㅤㅤㅤㅤㅤㅤㅤㅤ,5
Saya tidak bisa menginstal aplikasi ini,1
Assalamualaikum teman apa kabar,5
"Minta update terus, tapi kualitas aplikasinya ga membaik 👎",1
Saya sudah diimunisasi/vaksinasi copid 9 sebanyak 2 kali namun yang muncul hanya yang vaksinasi pertama yang kedua kalinya gak muncul sehingga mau vaksinasi booster di tempat pelaksanaan vaksin diragukan semoga setelah update Visa muncul status vaksin ke dua-duanya aamiin.,3
Ok Teruma kasih,4
Kenapa ya saya kan gnti hp trs sy download lgi peduli lindungi nya saya mau balikin akun saya eh gabisa saya coba berkali kali jg tetep gabisa,3
Akhir akhir ini sering erorr ga bisa di buka ketika nyoba install ulang tetep ga bisa di buka. Tolong di perbaiki ya,1
Oke,5
"Naik kereta harus vaksin, sedangkan puan maharani keluar negri tanpa vaksin",1
Cukup ok,3
"Ketika ingin melihat sertifikat vaksin tidak muncul apapun cuman layar putih, saya sudah mengajukan kendala yang saya alami tidak ada tindakan ataupun solusi! Diperbaiki!!",1
"Setelah update, tidak bisa menampilkan sertivicate vaksin,, hanya blank putih,, tolong segera di perbaiki, krn ini aplikasi wajib harusnya mendekati sempurna",1
Punya sya ko gak ada ehac nya padahal itu penting buat perjalanan,3
Buruk,1
Bagus,5
Aplikasinya Bagus,5
Mantap peduli lindungi,5
Baik,5
Aplikasi nya banyak bug,1
Ingin mengakses tentang kesehatan covid 19,4
Bagus,5
sekarang udah ga muncul cari lokasi untuk vaksinnya ya ???,1
"aplikasinya belum betul2 terintegrasi dengan SIAK Dukcapil, jadi ketika ada perubahan data di SIAK, di aplikasi ini tidak otomatis berubah",1
Ok mantap Pedulilindungi,5
Mantap,5
"ingat keamanan, bocor lagi lho",1
Update malah tambah ribet,4
👎,1
Semoga saja bermanfaat,5
Proses downloadnya cepat,4
bagus,5
"Bener bener bikin emosi mau cek sertikat saja bolak balik ga bisa bisa,merepotkan sekali",1
Ok,5
"Sertifikat vaksin tdk muncul di pedulilindungi, tapi tetap sy kasih 5 buntang",5
Tidak bisa log in kembali setelah pergantian nomer karena nomer lama hilang. Bagaimana ini untuk soluainya? Sudah coba tlp katanya 24jam ini udh mau 1 bulan,1
"Knapa,nda,bisa di buka ya...?",1
Kalo ada bintang nol.,1
Ok bgt,5
Bermanfaat,5
Kaka developer tolong bilangin ke KEMENKES obat varian astazeneka banyakin dong dan jadwal vaksinasi kok hilang,2
Padahal udh chat kekemenkesnya sama kediknes biar ganti nomer hp soalnya niknya udh kepake Ama no hp dulu tapi tetep aja nik sudah terpakai,1
Bagus,5
Ruwet,1
Ok,5
"gamenya keren, bisa buat mabar, ga perlu sinyal yang kenceng biar bisa mabar, cukup masukin nomer hp pun langsung bisa mabar mohon untuk bug musuh yang tiba"" punya damage gede di perbaiki lagi, dan juga bug dimana ketia hendak masuk ke lobby, terkadang suka stuck",1
"Makin gak jelas ini konoha, nomer hilang, udah beribu"" kali nanya nomer sudah di ganti, di suruh cek berkala, saya turutin, malah tetep gak bisa, kocak lah",1
Good,4
sangat bagus buat untuk berpegian,5
.9t 7,3
"Aplikasi sangat mudah dan gampang dimengerti ,,,,,,pokoknya peduli lindungi is the best",5
Aplikasi nya sudah di hack bjorka,1
Cukup baik,4
Sangat bagus,5
aplikasi nya tidak bisa di gunakan Percuma di dowload,1
apk eek,1
Bagus,5
"Sangat buruk. Lama² seperti sampah, bukannya mempermudah / mempercepat tapi justru banyak kendala. Mau menampilkan sertifikat saja tidak bisa.",1
Min yg benerlah kalo buat aplikasi saya mau klaim sertifikat malah layar hp saya putih. sekalinya bisa error atau bug di recaptcha nya padahal jaringan hp saya bagus,1
"Mantap, sudah vacsin 6x, dan tetap sehat, rawat pas. Covid juga. Tetap Aman",5
Bagus,5
Udah vaksin masa belum muncul sertifikat vaksinasi,1
Saya perah mengalami covid 19. Tp alhmdlh mendapatkan erawatan intensif dan sht kembali,5
"Kenapa gak bisa daftar NIK katanya salah,,mohon bantuannya donk🙏🙏 karena kita orang awam jadi kurang berpengalaman sama aplikasi",1
"Tidak bisa lihat sertifikat vaksin, padahal sebelum upgrade aplikasi bisa",1
Mantap,5
Bagus,5
. Gg.,3
Bgus,5
Oke,5
Email tidak bisa masuk bingung,1
